CATEGORIA;CLASE;SUBCATEGORIA;SUBCATEGORIA2;TIPO DOCUMENTO;LECTURA;ESCRITURA;
DOCUMENTOS ARQUITECTURA-ODI;DISEÑO / DECORACIÓN;PLANERA Y CUADRO SUPERF VENTA;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;ARQ
DOCUMENTOS ARQUITECTURA-ODI;DISEÑO / DECORACIÓN;EETT COMERCIALES DPTOS;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;ARQ
DOCUMENTOS ARQUITECTURA-ODI;DISEÑO / DECORACIÓN;EETT COMERCIALES EECC;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;ARQ
DOCUMENTOS ARQUITECTURA-ODI;DISEÑO / DECORACIÓN;D-BRIEF DECORACIÓN PILOTOS;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;DISEÑO / DECORACIÓN;D-BRIEF DECORACIÓN EECC;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;DISEÑO / DECORACIÓN;D-BRIEF DECORACIÓN SALA VENTAS;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;FUSIÓN / SUBDIVISIÓN;;;INMOB, ARQ,TEC,CONS,COM,LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;CERT FUSIÓN DE ROLES;;;INMOB, ARQ,TEC,CONS,COM,LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;CIP TERRENO FUSIONADO;;;INMOB, ARQ,TEC,CONS,COM,LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;CERTIFICADO DE NÚMERO;CERTIFICADO DE NÚMERO PROPIEDAD;;INMOB, ARQ,TEC,CONS,COM, CLI, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;CERTIFICADO DE NÚMERO;CERTIFICADO DE NÚMERO MASIVO;;INMOB, ARQ,TEC,CONS,COM, CLI, LEG;INMOB, ARQ
